mass_Msun,radius_Rsun,radius_km
2.365653194521817881e-01,1.937153211518384197e-02,1.347677489253339809e+04
2.488267639285154098e-01,1.898434740799114298e-02,1.320741049173943793e+04
2.615944611652309404e-01,1.860383890354110753e-02,1.294269072519354813e+04
2.748745312984189892e-01,1.822985757828508163e-02,1.268251191721293253e+04
2.886714723320835674e-01,1.786225812737703492e-02,1.242677297921620448e+04
3.029879988430589366e-01,1.750089905545718777e-02,1.217537547288156566e+04
3.178248858971541302e-01,1.714564277117228142e-02,1.192822367590455542e+04
3.331808212914427747e-01,1.679635568009913565e-02,1.168522464664496874e+04
3.490522694000584014e-01,1.645290827479049464e-02,1.144628828677174897e+04
3.654333499839846899e-01,1.611517521545277609e-02,1.121132739739049612e+04
3.823157353171341977e-01,1.578303540820308326e-02,1.098025773348688563e+04
3.996885688636427902e-01,1.545637206752799309e-02,1.075299804737922386e+04
4.175384085129082434e-01,1.513507276696657647e-02,1.052947012397864637e+04
4.358491970396605741e-01,1.481902947470618501e-02,1.030959880555309246e+04
4.546022619969768974e-01,1.450813857171224554e-02,1.009331200434020866e+04
4.737763466963952341e-01,1.420230084948344816e-02,9.880540700985633521e+03
4.933476732835011536e-01,1.390142148762405286e-02,9.671218928940052137e+03
5.132900382041315490e-01,1.360541001017679524e-02,9.465283744079995813e+03
5.335749396036252312e-01,1.331418021885618676e-02,9.262675178258248707e+03
5.541717354318914657e-01,1.302765010376732285e-02,9.063336177190925810e+03
5.750478302793678997e-01,1.274574173608256610e-02,8.867212525792641827e+03
5.961688882612118379e-01,1.246838113453473118e-02,8.674252755295812676e+03
6.174990686396414352e-01,1.219549811849235214e-02,8.484408041035128917e+03
6.390012803511155859e-01,1.192702613914638915e-02,8.297632085004142937e+03
6.606374511856857312e-01,1.166290210051864132e-02,8.113880991330818688e+03
6.823688071042168790e-01,1.140306616352731138e-02,7.933113129965950066e+03
7.041561570307736106e-01,1.114746154381492799e-02,7.755288996032044452e+03
7.259601784746344544e-01,1.089603430122727465e-02,7.580371063363815665e+03
7.477416994649467297e-01,1.064873312597674516e-02,7.408323635742021906e+03
7.694619725450145831e-01,1.040550912298908448e-02,7.239112696863506244e+03
7.910829369369670738e-01,1.016631559812051881e-02,7.072705761612444803e+03
8.125674654339207770e-01,9.931107847668433491e-03,6.909071729622929524e+03
8.338795930808464707e-01,9.699842955365406763e-03,6.748180744047713233e+03
8.549847252622729821e-01,9.472479594664321920e-03,6.590004054007968989e+03
8.758498233719520520e-01,9.248977842238440689e-03,6.434513884845283428e+03
8.964435668036853100e-01,9.029299003741973056e-03,6.281683316903290688e+03
9.167364905406186759e-01,8.813405446607034191e-03,6.131486169204514226e+03
9.367010981355724519e-01,8.601260450368696658e-03,5.983896895321502598e+03
9.563119503130343979e-01,8.392828065560287848e-03,5.838890485210292354e+03
9.755457298514947917e-01,8.188072988942122002e-03,5.696442378407034084e+03
9.943812837241373659e-01,7.986960447217542058e-03,5.556528383129243593e+03
